name_ar,name_en,poems_served,poems_total,era_id,era_name,century_now,death_year,birth_year,active_year,century_new,date_confidence,source_note
الفرزدق,al-Farazdaq,41,,4,أموي,8,728,641,,8,approx,Umayyad naqa'id poet
الوأواء الدمشقي,al-Wa'wa' al-Dimashqi,40,,2,عباسي,9,995,,,10,approx,"Damascus, d. c. 385 AH"
عمر بن أبي ربيعة,ʿUmar ibn Abī Rabīʿah,40,,4,أموي,8,712,644,,8,approx,"Meccan ghazal, d. c. 93 AH"
عنترة بن شداد,'Antarah ibn Shaddad,40,,5,جاهلي,6,600,,,6,approx,"Pre-Islamic mu'allaqa poet; d. c.600-608, pulled to 600 so the century stays with the Jahili era"
ابن عبد ربه,Ibn Abd Rabbih,37,,2,عباسي,9,940,860,,10,exact,"Cordoba, author of al-Iqd al-Farid"
الشريف المرتضى,Al-Sharīf al-Murtaḍā,36,,8,مملوكي,14,1044,966,,11,exact,Baghdad
ابن الفارض,Ibn al-Fāriḍ,34,81,10,أيوبي,,1235,1181,,13,exact,"Sultan al-Ashiqin, Cairo"
بشار بن برد,Bishr ibn Burd,33,,2,عباسي,9,784,714,,8,exact,"Blind, flogged to death 167 AH"
ابن عبد ربه الاندلسي,Ibn Abd Rabbih al-Andalusi,29,,8,مملوكي,14,940,860,,10,exact,Duplicate of Ibn Abd Rabbih
النابغة الذبياني,al-Nabighah al-Dhubyani,29,,5,جاهلي,6,600,,,6,approx,"Pre-Islamic, court of al-Nu'man; d. c.604, pulled to 600 so the century stays with the Jahili era"
ديك الجن,Dic al-Jinn,29,,2,عباسي,9,849,777,,9,approx,"Homs, d. c. 235 AH"
محمود درويش,Mahmoud Darwish,28,68,3,متأخر,,2008,1941,,21,exact,Palestine
ذو الرمة,Dhū al-Rummah,28,,4,أموي,8,735,696,,8,exact,"Last of the great bedouin poets, d. 117 AH"
قيس بن ذريح,Qays ibn Dhurayḥ,26,,4,أموي,8,688,,,7,approx,Qays Lubna; Umayyad udhri poet
كثير عزة,Kathīr ʿAzzah,26,,4,أموي,8,723,,,8,exact,"Umayyad, d. 105 AH"
الامام علي بن ابي طالب,Al-Imam Ali ibn Abi Talib,24,,7,أندلسي,11,661,601,,7,exact,Duplicate spelling of Ali ibn Abi Talib
ابن نباتة المصري,Ibn Nabatah al-Misri,23,43,3,متأخر,,1366,1287,,14,exact,Mamluk Cairo/Damascus
بهاء الدين زهير,Bahāʾ al-Dīn Zuhayr,23,,8,مملوكي,14,1258,1186,,13,exact,Ayyubid Egypt
إيليا أبو ماضي,Iliya Abu Madi,22,53,3,متأخر,,1957,1889,,20,exact,Mahjar
أبو الفتح البستي,Abu al-Fath al-Busti,21,,2,عباسي,9,1010,,,11,approx,"Bust (Sijistan), d. c. 400 AH"
الأبيوردي,Al-Abīwardī,21,,7,أندلسي,11,1113,,,12,exact,"Muhammad ibn Ahmad, d. 507 AH"
جبران خليل جبران,Gibran Khalil Gibran,20,56,3,متأخر,,1931,1883,,20,exact,"Mahjar, New York"
دعبل الخزاعي,Du'bal al-Khaza'i,20,,2,عباسي,9,860,765,,9,exact,"Shia partisan poet, d. 246 AH"
عباس محمود العقاد,ʿAbbās Mahmoud al-ʿAqqād,19,49,3,متأخر,,1964,1889,,20,exact,Egypt
ابن حزم الأندلسي,Ibn Ḥazm al-Andalusī,19,,7,أندلسي,11,1064,994,,11,exact,"Cordoba, Tawq al-Hamama"
ابن سهل الأندلسي,Ibn Sahl al-Andalusi,19,,8,مملوكي,14,1251,1212,,13,exact,"Seville, drowned"
خليل مطران,Khalil Mutran,18,54,3,متأخر,,1949,1872,,20,exact,Lebanon/Egypt
قيس بن الملوح (مجنون ليلى),Qays ibn al-Mulawwah (Majnun Layla),18,49,3,متأخر,,688,,,7,approx,Duplicate spelling of Qays ibn al-Mulawwah
ابراهيم ناجي,Ibrahim Naji,18,,4,أموي,8,1953,1898,,20,exact,"Egypt, Apollo group"
احمد الصافي النجفي,Ahmad al-Safi al-Najafi,18,,6,مخضرم,13,1977,1897,,20,exact,Iraq
امرؤ القيس,Imru' al-Qays,18,,5,جاهلي,6,540,,,6,approx,"Pre-Islamic, the wandering king"
نزار قباني,Nizar Qabbani,17,37,3,متأخر,,1998,1923,,20,exact,Damascus/London
ابن رشيق القيرواني,Ibn Rashiq al-Qayrawani,17,,8,مملوكي,14,1063,1000,,11,approx,"Kairouan, author of al-Umda"
جرير,Jarīr,17,,4,أموي,8,728,653,,8,approx,Umayyad naqa'id poet
حسان بن ثابت,Ḥassān ibn Thābit,17,,6,مخضرم,13,674,,,7,approx,"Poet of the Prophet, d. c. 54 AH"
لبيد بن ربيعة,Labīd ibn Rabīʿah,17,,6,مخضرم,13,661,,,7,approx,Mukhadram mu'allaqa poet
ابو القاسم الشابي,Abu al-Qasim al-Shabbi,16,36,3,متأخر,,1934,1909,,20,exact,Tunisia
مصطفى صادق الرافعي,Mustafa Sadiq al-Rafi'i,15,34,3,متأخر,,1937,1880,,20,exact,Egypt
ابن الزقاق البلنسي,Ibn al-Zuqaaq al-Balansi,14,38,3,متأخر,,1134,1096,,12,approx,Valencia; nephew of Ibn Khafaja
ابو بكر الصنوبري,Abu Bakr al-Sanawbari,14,,7,أندلسي,11,945,,,10,exact,"Aleppo, d. 334 AH"
ابن سناء الملك,Ibn Sanāʾ al-Mulk,13,29,10,أيوبي,,1211,1155,,13,exact,"Cairo, Ayyubid; theorist of the muwashshah"
حافظ ابراهيم,Hafez Ibrahim,13,,7,أندلسي,11,1932,1872,,20,exact,"Egypt, Poet of the Nile"
عبد الله بن المبارك,Abdullah ibn al-Mubarak,13,,2,عباسي,9,797,726,,8,exact,"Ascetic-scholar, d. 181 AH"
أبو حيان الأندلسي,Abū Ḥayyān al-Andalusī,12,,7,أندلسي,11,1344,1256,,14,exact,"Grammarian, Granada then Cairo"
جميل بثينة,Jamīl Buṭaynah,12,,4,أموي,8,701,,,8,exact,"Jamil ibn Ma'mar, d. 82 AH"
طرفة بن العبد,Tarfa ibn al-'Abd,12,,5,جاهلي,6,564,,,6,approx,"Pre-Islamic mu'allaqa poet, killed young"
احمد مطر,Ahmad Matar,11,29,3,متأخر,,,1954,1990,20,exact,"Iraqi satirist, living; floruit taken mid-career"
ابن الساعاتي,Ibn al-Sāʿātī,11,24,10,أيوبي,,1207,1153,,13,exact,"Ali ibn Rustam, Ayyubid Cairo"
أبو الحسن الجرجاني,Abu al-Hasan al-Jurjani,11,,2,عباسي,9,1001,,,11,exact,"Al-Qadi al-Jurjani, d. 392 AH"
ابن الوردي,Ibn al-Wardī,11,,8,مملوكي,14,1349,1292,,14,exact,"Aleppo, d. of plague"
ابو حيان النحوي الاندلسي,Abu Hayyan al-Nahwi al-Andalusi,11,,8,مملوكي,14,1344,1256,,14,exact,Duplicate of Abu Hayyan al-Andalusi
ادونيس,Adonis,10,30,3,متأخر,,,1930,1975,20,exact,"Ali Ahmad Said Esber; living, floruit taken mid-career"
ابن معصوم المدني,Ibn Ma'sum al-Madani,10,28,3,متأخر,,1707,1642,,18,exact,"Ali Khan al-Madani, author of Sulafat al-Asr"
محي الدين بن عربي,Muhyi al-Din ibn Arabi,10,28,3,متأخر,,1240,1165,,13,exact,Duplicate spelling of Muhyi al-Din ibn Arabi
الرصافي البلنسي,Al-Ruṣāfī al-Balansī,10,27,10,أيوبي,,1177,,,12,approx,"Valencia, d. c. 572 AH"
ابن الدمينة,Ibn al-Dammīnah,10,,4,أموي,8,747,,,8,approx,Umayyad udhri poet
ابن خاتمة الأندلسي,Ibn Khātima al-Andalusī,10,,7,أندلسي,11,1369,,,14,exact,"Almeria, d. 770 AH"
ابن دريد الأزدي,Ibn Durayd al-Azdi,10,,2,عباسي,9,933,837,,10,exact,"Author of al-Jamhara, d. 321 AH"
ابن سعيد المغربي,Ibn Said al-Maghribi,10,,8,مملوكي,14,1286,1213,,13,exact,"Granada, author of al-Mughrib"
العفيف التلمساني,Al-ʿAfīf al-Tilimsānī,10,,7,أندلسي,11,1291,1213,,13,exact,"Sufi poet, Damascus"
زهير بن أبي سلمى,Zuhayr ibn Abī Sulmā,10,,5,جاهلي,6,600,,,6,approx,"Pre-Islamic mu'allaqa poet; d. c.609, pulled to 600 so the century stays with the Jahili era"
عبد الغني النابلسي,Abd al-Ghani al-Nabulsi,9,54,9,عثماني,,1731,1641,,18,exact,"Damascus Sufi, Ottoman era"
الحكم بن ابي الصلت,Al-Hakam ibn Abi al-Salt,9,15,3,متأخر,,1134,,,12,exact,Umayya ibn Abd al-Aziz ibn Abi al-Salt al-Dani
السري الرفاء,al-Sirri al-Raffa',9,,2,عباسي,9,973,,,10,approx,"Mosul, d. c. 362 AH"
السيد الحميري,al-Sayyid al-Himyari,9,,2,عباسي,9,789,723,,8,approx,"Shia partisan poet, d. c. 173 AH"
امية الداني ( الحكم بن ابي الصلت ),Umaya al-Dani (Al-Hakam ibn Abi al-Salt),9,,8,مملوكي,14,1134,,,12,exact,Duplicate of Umayya ibn Abd al-Aziz al-Dani
عبد الله بن رواحة,ʿAbd Allāh ibn Rawāḥah,9,,6,مخضرم,13,629,,,7,exact,"Companion, killed at Mu'ta 8 AH"
عمرو بن كلثوم,'Amr ibn Kulthum,9,,5,جاهلي,6,584,,,6,approx,Pre-Islamic mu'allaqa poet
ابن عنين,Ibn ʿInān,8,21,10,أيوبي,,1233,1154,,13,exact,"Damascus, Ayyubid court satirist"
الشافعي,Al-Shafi'i,8,20,3,متأخر,,820,767,,9,exact,Duplicate of Imam al-Shafi'i
محمد مهدي الجواهري,Muhammad Mahdi al-Jawahiri,8,20,3,متأخر,,1997,1899,,20,exact,Iraq
يحيى الحمادي,Yahya al-Hammadi,8,19,3,متأخر,,,,,,,No reliable dates found
أبو الأسود الدؤلي,Abū al-Aswad al-Duʾalī,8,,4,أموي,8,688,603,,7,exact,"Basra, d. 69 AH"
أبو هلال العسكري,Abu Hilal al-Askari,8,,2,عباسي,9,1005,,,11,approx,"Author of al-Sina'atayn, d. after 395 AH"
الحطيئة,al-Ḥuṭayʾah,8,,6,مخضرم,13,670,,,7,approx,Mukhadram hija' poet
الصنوبري,al-Sanawbari,8,,2,عباسي,9,945,,,10,exact,Duplicate of Abu Bakr al-Sanawbari
علي الحصري القيرواني,Ali al-Husri al-Qayrawani,8,,8,مملوكي,14,1095,1029,,11,exact,Kairouan then al-Andalus
علية بنت المهدي,Ulayya bint al-Mahdi,8,,2,عباسي,9,825,777,,9,exact,Abbasid princess
ابن زاكور,Ibn Zakur,7,42,9,عثماني,,1731,1665,,18,exact,"Fes, Morocco; Ottoman-era Maghrib"
ابن معصوم الحسني الحسيني,Ibn Ma'sum al-Hasani al-Husayni,7,22,3,متأخر,,1707,1642,,18,exact,Duplicate of Ibn Ma'sum al-Madani
ابو الفضل بن الاحنف,Abu al-Fadl ibn al-Ahnaf,7,19,3,متأخر,,808,750,,9,approx,Duplicate (kunya) of al-Abbas ibn al-Ahnaf
ابو الربيع سليمان الموحدي,Abu al-Rabi' Sulayman al-Muwahidi,7,15,3,متأخر,,,,1200,12,approx,Almohad-era; floruit estimate
محمود المشهداني,Mahmoud al-Mashhadani,7,11,3,متأخر,,,,2010,21,approx,Contemporary Iraqi; floruit estimate
إبراهيم بن هرمة,Ibrahim ibn Hurma,7,,2,عباسي,9,792,709,,8,approx,Last of the Hijazi Umayyad-Abbasid transitional poets
ابن دراج القسطلي,Ibn Darraj al-Qastalli,7,,2,عباسي,9,1030,958,,11,exact,"Al-Andalus, Amirid court"
ابن شهيد,Ibn Shuhayd,7,,7,أندلسي,11,1035,992,,11,exact,Cordoba
ابن طباطبا العلوي,Ibn Tabataba al-Alawi,7,,2,عباسي,9,934,,,10,exact,"Isfahan, d. 322 AH"
ابن هانئ الأصغر,Ibn Hāniʾ al-Aṣghar,7,,7,أندلسي,11,1179,,,12,approx,"Andalusian, later namesake of Ibn Hani"
الأحوص الأنصاري,al-Aḥwaṣ al-Anṣārī,7,,4,أموي,8,723,,,8,approx,Umayyad Medina ghazal poet
الراعي النميري,al-Rāʿī al-Numayrī,7,,4,أموي,8,708,,,8,approx,"Umayyad, rival of Jarir"
الصاحب بن عباد,al-Sahib ibn Abbad,7,,2,عباسي,9,995,938,,10,exact,Buyid vizier and patron
تأبط شرا,Ta'abbata Sharran,7,,5,جاهلي,6,530,,,6,approx,Pre-Islamic su'luk
حاتم الطائي,Hatim al-Ta'i,7,,5,جاهلي,6,578,,,6,approx,Pre-Islamic byword for generosity
عدي بن الرقاع,ʿAdī ibn al-Riqāʿ,7,,4,أموي,8,714,,,8,approx,"Umayyad, Damascus court"
عدي بن زيد,ʿAdī ibn Zayd,7,,5,جاهلي,6,600,,,6,approx,Pre-Islamic Christian of al-Hira
محمود الوراق,Mahmud al-Warraq,7,,2,عباسي,9,845,,,9,approx,"Abbasid zuhd poet, d. c. 230 AH"
ولادة بنت المستكفي,Wallāda bint al-Mustakfī,7,,7,أندلسي,11,1091,1001,,11,exact,Umayyad princess of Cordoba
علي محمود طه,Ali Mahmud Taha,6,19,3,متأخر,,1949,1901,,20,exact,"Egypt, Apollo group"
ابراهيم طوقان,Ibrahim Tuqan,6,18,3,متأخر,,1941,1905,,20,exact,Palestine
أبو مدين التلمساني,Abū Madīn al-Tilimsānī,6,15,10,أيوبي,,1198,1126,,12,exact,Sufi of Tlemcen/Bijaya
معروف الرصافي,Ma'ruf al-Rusafi,6,14,3,متأخر,,1945,1875,,20,exact,Iraq
عبد الجبار بن حمديس,Abd al-Jabbar ibn Hamdis,6,11,3,متأخر,,1133,1055,,12,exact,Duplicate (full name) of Ibn Hamdis
عمر ابن ابي ربيعة,Umar ibn Abi Rabi'ah,6,8,3,متأخر,,712,644,,8,approx,Duplicate spelling of Umar ibn Abi Rabi'a
ابن الحداد الأندلسي,Ibn al-Ḥaddād al-Andalusī,6,,7,أندلسي,11,1087,,,11,approx,"Almeria, d. c. 480 AH"
ابن نباتة السعدي,Ibn Nabata al-Sa'di,6,,2,عباسي,9,1015,938,,11,exact,"Baghdad, distinct from Ibn Nubata al-Misri"
ابن هانئ الأندلسي,Ibn Hani' al-Andalusi,6,,2,عباسي,9,973,934,,10,exact,"Fatimid panegyrist, killed young"
ابو بكر الخالدي ( الخالديان ),Abu Bakr al-Khalidi (al-Khalidiyan),6,,8,مملوكي,14,990,,,10,approx,"One of the two Khalidi brothers, Mosul"
الخبز أرزي,al-Khubz Arzi,6,,2,عباسي,9,938,,,10,approx,"Basra, the rice-bread baker poet"
خالد الكاتب,Khalid al-Katib,6,,2,عباسي,9,876,,,9,approx,"Abbasid ghazal, d. c. 262 AH"
محمد بن حازم الباهلي,Muhammad ibn Hazim al-Bahili,6,,2,عباسي,9,874,,,9,approx,"Abbasid, Baghdad"
الأمير الصنعاني,Amir al-San'ani,5,30,9,عثماني,,1768,1688,,18,exact,"Muhammad ibn Isma'il al-San'ani, Yemen"
جميل صدقي الزهاوي,Jamil Sidqi al-Zahawi,5,30,9,عثماني,,1936,1863,,20,exact,Baghdad
ريم سليمان الخش,Reem Sulayman al-Khash,5,17,3,متأخر,,,,2010,21,approx,Contemporary Syrian poet; floruit estimate
صالح طه ( ظميان غدير ),Salih Taha (Dhimyan Ghadeer),5,16,3,متأخر,,,,2010,21,approx,Contemporary poet; floruit estimate
غيداء الايوبي,Ghayda' al-Ayyubi,5,16,3,متأخر,,,,2010,21,approx,Contemporary poet; floruit estimate
القاضي الفاضل,Al-Qāḍī al-Fāḍil,5,12,10,أيوبي,,1200,1135,,12,exact,Saladin's chancellor
أبو الحسن الششتري,Abū al-Ḥasan al-Shushtarī,5,,7,أندلسي,11,1269,1212,,13,exact,"Andalusian Sufi, muwashshah of the zajal type"
أبو بكر الشبلي,Abu Bakr al-Shibli,5,,2,عباسي,9,946,861,,10,exact,Baghdad Sufi
أبو دهبل الجمحي,Abū Dahbal al-Jumḥī,5,,4,أموي,8,715,,,8,approx,Umayyad Meccan
ابن القيسراني,Ibn al-Qaysarani,5,,8,مملوكي,14,1154,1085,,12,exact,"Aleppo, Zangid court"
ابن سارة ( صارة ) الشنتريني,Ibn Sarah al-Shantarin,5,,8,مملوكي,14,1123,,,12,exact,"Santarem, al-Andalus, d. 517 AH"
ابن سنان الخفاجي,Ibn Sinan al-Khafaji,5,,8,مملوكي,14,1073,1032,,11,exact,"Aleppo, rhetorician"
ابن وكيع التنيسي,Ibn Waki' al-Tinnisi,5,,7,أندلسي,11,1003,,,11,exact,"Tinnis, Egypt, d. 393 AH"
جميل بن معمر,Jamil bin Mu'ammar,5,,7,أندلسي,11,701,,,8,exact,Duplicate (full name) of Jamil Buthayna
شهاب الدين التلعفري,Shihab al-Din al-Ta'laffari,5,,8,مملوكي,14,1277,1194,,13,exact,Tal Afar then Syria
عدي بن ربيعة المهلهل ( الزير ),Adi bin Rabi'a al-Muhalhil (al-Zir),5,,5,جاهلي,6,531,,,6,approx,"Pre-Islamic, the Basus war"
علي بن الجهم,Ali ibn al-Jahm,5,,2,عباسي,9,863,804,,9,exact,"Abbasid, d. 249 AH"
عمارة اليمني,ʿImāra al-Yamanī,5,,7,أندلسي,11,1174,1121,,12,exact,Executed by Saladin
مالك بن الريب,Mālik ibn al-Rayb,5,,4,أموي,8,680,,,7,approx,"Umayyad, famous self-elegy"
مهيار الديلمي,Muhayyar al-Daylami,5,,2,عباسي,9,1037,,,11,exact,"Baghdad, pupil of al-Sharif al-Radi"
نصيب بن رباح,Naṣīb ibn Rabāḥ,5,,4,أموي,8,726,,,8,approx,"Umayyad, freedman poet"
أبو بحر الخطي,Abu Bahr al-Khatti,4,24,9,عثماني,,1618,1554,,17,approx,"Bahrain/al-Qatif, d. c. 1028 AH"
ابن معصوم,Ibn Ma'sum,4,24,9,عثماني,,1707,1642,,18,exact,Duplicate of Ibn Ma'sum al-Madani
محمد العيد ال خليفة,Muhammad al-Eid al-Khalifa,4,19,3,متأخر,,1979,1904,,20,exact,Algeria
شهاب الدين ابن دمرداش,Shihab al-Din Ibn Damardash,4,15,3,متأخر,,,,,,,No reliable dates found
غازي القصيبي,Ghazi al-Qusaibi,4,14,3,متأخر,,2010,1940,,21,exact,Saudi Arabia
أبو زيد الفازازي,Abū Zayd al-Fazzāzī,4,11,10,أيوبي,,1230,,,13,exact,"Marrakesh/Fes, d. 627 AH"
ابو الفضل الوليد,Abu al-Fadl al-Walid,4,10,3,متأخر,,1941,1886,,20,exact,"Lebanon, Ilyas Tabet"
قيس لبنى,Qays Lubna,4,9,3,متأخر,,688,,,7,approx,Duplicate byname of Qays ibn Dhurayh
وصف المطر والسحاب,Wasf al-Matar wa al-Sahab,4,8,3,متأخر,,,,,,,"NOT A POET - theme label (""description of rain and clouds"") misfiled as a poet row"
ابن رشيق القيرواني الازدي,Ibn Rashiq al-Qayrawani al-Azdi,4,5,3,متأخر,,1063,1000,,11,approx,Duplicate of Ibn Rashiq al-Qayrawani
أبو ذؤيب الهذلي,Abū Dhūʾayb al-Hudhaliyy,4,,6,مخضرم,13,649,,,7,approx,Mukhadram Hudhali elegist
أبو طالب,Abū Ṭālib,4,,6,مخضرم,13,619,539,,7,approx,Uncle of the Prophet
ابن الهبارية,Ibn al-Hibbariyya,4,,2,عباسي,9,1115,1023,,12,exact,Baghdad satirist
ابن داود الظاهري,Ibn Dawud al-Zahiri,4,,2,عباسي,9,910,868,,10,exact,Author of Kitab al-Zahra
ابن ميادة,Ibn Mayyada,4,,2,عباسي,9,764,,,8,approx,Umayyad-Abbasid transitional
اسحاق الموصلي,Ishaq al-Mawsili,4,,7,أندلسي,11,850,767,,9,exact,Musician-poet of the Abbasid court
الأحنف العكبري,al-Ahnaf al-Ukbari,4,,2,عباسي,9,1015,,,11,approx,"Baghdad, poet of beggars"
الباخرزي,Al-Bākharzī,4,,8,مملوكي,14,1075,,,11,exact,"Author of Dumyat al-Qasr, d. 467 AH"
الثعالبي,al-Tha'alibi,4,,2,عباسي,9,1038,961,,11,exact,"Nishapur, author of Yatimat al-Dahr"
المتلمس الضبعي,al-Mutalammis al-Dhub'i,4,,5,جاهلي,6,580,,,6,approx,"Pre-Islamic, uncle of Tarafa"
صاعد البغدادي,Sa'id al-Baghdadi,4,,2,عباسي,9,1026,,,11,approx,Andalusian-Baghdadi philologist
صلاح الدين الصفدي,Salah al-Din al-Safadi,4,,8,مملوكي,14,1363,1296,,14,exact,Mamluk polymath and biographer
عامر بن الطفيل,ʿĀmir ibn al-Ṭufayl,4,,6,مخضرم,13,630,,,7,approx,Pre-Islamic/mukhadram knight of Amir
كعب بن زهير,Kaʿb ibn Zuhayr,4,,6,مخضرم,13,645,,,7,approx,"Mukhadram, Banat Su'ad"
وجيه الدولة الحمداني,Wajih al-Dawla al-Hamdani,4,,2,عباسي,9,1000,,,10,approx,Hamdanid; floruit estimate
يوسف بن هارون الرمادي,Yūsuf ibn Hārūn al-Ramādī,4,,7,أندلسي,11,1013,,,11,exact,"Cordoba, d. 403 AH"
مجنون ليلى,Majnun Layla,3,13,3,متأخر,,688,,,7,approx,Duplicate of Qays ibn al-Mulawwah
ابن دريد,Ibn Durayd,3,10,3,متأخر,,933,837,,10,exact,Duplicate of Ibn Durayd al-Azdi
زيد بن عمرو بن نفيل,Zayd ibn Amr ibn Nufayl,3,10,3,متأخر,,605,,,7,approx,"Hanif of Mecca, d. before the mission"
عبدالله البردوني,Abdullah al-Baraduni,3,10,3,متأخر,,1999,1929,,20,exact,Yemen
ابن مقبل,Ibn Muqbil,3,9,3,متأخر,,670,,,7,approx,"Mukhadram, Tamim"
السهروردي المقتول,Al-Suhrawardī al-Maqtūl,3,9,10,أيوبي,,1191,1154,,12,exact,"Executed at Aleppo, founder of Ishraqi philosophy"
الحيص بيص,Al-Ḥayṣ Bayṣ,3,8,10,أيوبي,,1179,1096,,12,exact,"Sa'd ibn Muhammad, Baghdad"
الفروسية,Al-Furusiyyah,3,8,3,متأخر,,,,,,,"NOT A POET - theme label (""chivalry"") misfiled as a poet row"
عدنان الصايغ,Adnan al-Sa'igh,3,8,3,متأخر,,,1955,1995,20,exact,"Iraqi, living; floruit taken mid-career"
يعقوب بن علي ال ابراهيم,Ya'qub ibn Ali al Ibrahim,3,8,3,متأخر,,,,1950,20,approx,Gulf poet; floruit estimate
ابن لبال الشريشي,Ibn Labāb al-Sharīshī,3,7,10,أيوبي,,1187,1116,,12,exact,"Jerez, al-Andalus"
ابو اسحاق الصابي,Abu Ishaq al-Sabi,3,7,3,متأخر,,994,925,,10,exact,Baghdad chancery stylist
المفتي فتح الله,al-Muftī Fatḥ Allāh,3,7,3,متأخر,,,,1600,16,approx,Ottoman-era mufti-poet; floruit estimate
امل دنقل,Amal Dunqul,3,7,3,متأخر,,1983,1940,,20,exact,Egypt
علي الجارم,Ali al-Jaram,3,7,3,متأخر,,1949,1881,,20,exact,Egypt
ابو الفضل بن العميد,Abu al-Fadl ibn al-Amid,3,6,3,متأخر,,970,,,10,exact,"Buyid vizier, d. 360 AH"
حيدر الحلي,Haydar al-Hilli,3,6,3,متأخر,,1886,1831,,19,exact,"Iraq, Shia elegist"
سبط ابن التعاويذي,Sibṭ ibn al-Ta'awidhi,3,6,3,متأخر,,1188,1126,,12,exact,Baghdad
ماء العينين,Ma' al-Aynayn,3,6,3,متأخر,,1910,1830,,20,exact,Saharan Moroccan Sufi and resistance leader
ابن عطية الاندلسي,Ibn Attiyah al-Andalusi,3,5,3,متأخر,,1147,1088,,12,exact,"Granada, Qur'an exegete"
أبو إسحاق الإلبيري,Abu Ishaq al-Ilbiri,3,,8,مملوكي,14,1067,,,11,exact,"Elvira, al-Andalus, d. 459 AH"
