name_ar,name_en,poems_served,century_new,era_id,era_name,target_era,target_name,date_confidence,source_note
الشافعي,Al-Shafi'i,8,9,3,متأخر,2,عباسي,exact,Duplicate of Imam al-Shafi'i
علي الحصري القيرواني,Ali al-Husri al-Qayrawani,8,11,8,مملوكي,7,أندلسي,exact,Kairouan then al-Andalus
ابن معصوم الحسني الحسيني,Ibn Ma'sum al-Hasani al-Husayni,7,18,3,متأخر,9,عثماني,exact,Duplicate of Ibn Ma'sum al-Madani
ابو الفضل بن الاحنف,Abu al-Fadl ibn al-Ahnaf,7,9,3,متأخر,2,عباسي,approx,Duplicate (kunya) of al-Abbas ibn al-Ahnaf
ابو الربيع سليمان الموحدي,Abu al-Rabi' Sulayman al-Muwahidi,7,12,3,متأخر,7,أندلسي,approx,Almohad-era; floruit estimate
عبد الجبار بن حمديس,Abd al-Jabbar ibn Hamdis,6,12,3,متأخر,7,أندلسي,exact,Duplicate (full name) of Ibn Hamdis
عمر ابن ابي ربيعة,Umar ibn Abi Rabi'ah,6,8,3,متأخر,4,أموي,approx,Duplicate spelling of Umar ibn Abi Rabi'a
ابو بكر الخالدي ( الخالديان ),Abu Bakr al-Khalidi (al-Khalidiyan),6,10,8,مملوكي,2,عباسي,approx,"One of the two Khalidi brothers, Mosul"
جميل صدقي الزهاوي,Jamil Sidqi al-Zahawi,5,20,9,عثماني,3,متأخر,exact,Baghdad
ابن القيسراني,Ibn al-Qaysarani,5,12,8,مملوكي,2,عباسي,exact,"Aleppo, Zangid court"
ابن سارة ( صارة ) الشنتريني,Ibn Sarah al-Shantarin,5,12,8,مملوكي,7,أندلسي,exact,"Santarem, al-Andalus, d. 517 AH"
ابن سنان الخفاجي,Ibn Sinan al-Khafaji,5,11,8,مملوكي,2,عباسي,exact,"Aleppo, rhetorician"
قيس لبنى,Qays Lubna,4,7,3,متأخر,4,أموي,approx,Duplicate byname of Qays ibn Dhurayh
ابن رشيق القيرواني الازدي,Ibn Rashiq al-Qayrawani al-Azdi,4,11,3,متأخر,2,عباسي,approx,Duplicate of Ibn Rashiq al-Qayrawani
الباخرزي,Al-Bākharzī,4,11,8,مملوكي,2,عباسي,exact,"Author of Dumyat al-Qasr, d. 467 AH"
مجنون ليلى,Majnun Layla,3,7,3,متأخر,4,أموي,approx,Duplicate of Qays ibn al-Mulawwah
ابن دريد,Ibn Durayd,3,10,3,متأخر,2,عباسي,exact,Duplicate of Ibn Durayd al-Azdi
زيد بن عمرو بن نفيل,Zayd ibn Amr ibn Nufayl,3,7,3,متأخر,1,إسلامي,approx,"Hanif of Mecca, d. before the mission"
ابن مقبل,Ibn Muqbil,3,7,3,متأخر,6,مخضرم,approx,"Mukhadram, Tamim"
ابو اسحاق الصابي,Abu Ishaq al-Sabi,3,10,3,متأخر,2,عباسي,exact,Baghdad chancery stylist
المفتي فتح الله,al-Muftī Fatḥ Allāh,3,16,3,متأخر,9,عثماني,approx,Ottoman-era mufti-poet; floruit estimate
ابو الفضل بن العميد,Abu al-Fadl ibn al-Amid,3,10,3,متأخر,2,عباسي,exact,"Buyid vizier, d. 360 AH"
سبط ابن التعاويذي,Sibṭ ibn al-Ta'awidhi,3,12,3,متأخر,10,أيوبي,exact,Baghdad
ابن عطية الاندلسي,Ibn Attiyah al-Andalusi,3,12,3,متأخر,7,أندلسي,exact,"Granada, Qur'an exegete"
أبو إسحاق الإلبيري,Abu Ishaq al-Ilbiri,3,11,8,مملوكي,7,أندلسي,exact,"Elvira, al-Andalus, d. 459 AH"
ابن حديدة اللخمي القيرواني,Ibn Hadidat al-Lakhmi al-Qayrawani,3,11,8,مملوكي,2,عباسي,approx,Kairouan; floruit estimate
ابن شرف القيرواني,Ibn Sharaf al-Qayrawani,3,11,8,مملوكي,2,عباسي,exact,"Kairouan, rival of Ibn Rashiq"
ابو جعفر بن سعيد الاندلسي,Abu Ja'far ibn Said al-Andalusi,3,12,8,مملوكي,7,أندلسي,approx,"Alcala la Real, of the Banu Sa'id"
عبد الرحمن الداخل,Abd al-Rahman al-Dakhil,3,8,8,مملوكي,7,أندلسي,exact,"Umayyad amir of Cordoba, Saqr Quraysh"
عرقلة الدمشقي,Urqula al-Dimashqi,3,12,2,عباسي,10,أيوبي,exact,"Damascus, Ayyubid"
ابن الجزري,Ibn al-Jazari,2,15,9,عثماني,8,مملوكي,exact,"Qira'at scholar, Shiraz"
ابن هتيمل,Ibn Hatim,2,14,3,متأخر,8,مملوكي,approx,"Yemeni, d. c. 750 AH"
ابن نما الحلي,Ibn Nama al-Hilli,2,13,3,متأخر,8,مملوكي,exact,"Hilla, Shia scholar"
ابن النبيه,Ibn al-Nabih,2,13,3,متأخر,10,أيوبي,exact,"Ayyubid Egypt, d. 619 AH"
ابن باجة الاندلسي,Ibn Bajjah al-Andalusi,2,12,3,متأخر,7,أندلسي,exact,Avempace; philosopher-poet
ابن لولو,Ibn Lulu,2,14,3,متأخر,8,مملوكي,approx,Mamluk-era; floruit estimate
المنازي,Al-Manazi,2,11,3,متأخر,2,عباسي,approx,"Ahmad ibn Yusuf, Diyar Bakr, d. c. 437 AH"
علي بن محمد التهامي,Ali bin Muhammad al-Tahami,2,11,3,متأخر,2,عباسي,exact,Duplicate of al-Tihami
لبيد بن ربيعة العامري,Labid bin Rabi'ah al-Amiri,2,7,3,متأخر,6,مخضرم,approx,Duplicate (full name) of Labid ibn Rabi'a
ابراهيم بن هلال بن زهرون,Ibrahim ibn Hilal ibn Zahrun,2,10,3,متأخر,2,عباسي,exact,Duplicate of Abu Ishaq al-Sabi
ابن قضيب البان الحلبي,Ibn Qaḍīb al-Bān al-Ḥalabī,2,17,3,متأخر,9,عثماني,exact,"Aleppo Sufi, Ottoman era"
أبو بكر العنبري,Abu Bakr al-'Anbari,2,9,8,مملوكي,2,عباسي,approx,No reliable dates; floruit estimate
ابن الخياط,Ibn al-Khayyat,2,12,8,مملوكي,2,عباسي,exact,Damascus
ابن اللبانة الداني,Ibn al-Labbanah al-Dani,2,12,8,مملوكي,7,أندلسي,exact,"Denia, poet of the fall of Seville"
الاعمى التطيلي,Al-A'ma al-Tutili,2,12,8,مملوكي,7,أندلسي,exact,"Tudela, muwashshah master, d. 525 AH"
الحاج غلوج,al-Ḥājj Ghulūj,2,18,7,أندلسي,9,عثماني,approx,Maghribi; floruit estimate
تميم الفاطمي,Tamīm al-Fāṭimī,2,10,8,مملوكي,2,عباسي,exact,"Fatimid prince, son of al-Mu'izz"
دريد بن الصمة,Durayd ibn al-Ṣimmah,2,7,5,جاهلي,6,مخضرم,approx,"Mukhadram, killed at Hunayn"
عز الدين ابن معقل المهلبي,Izz al-Din Ibn Ma'qil al-Mahlabi,2,13,5,جاهلي,8,مملوكي,approx,"Hama, Ayyubid-Mamluk"
محمد بن حمير الهمداني,Muḥammad ibn Ḥumayr al-Hamadānī,2,11,8,مملوكي,2,عباسي,approx,Yemeni; floruit estimate
نزهون بنت القلاعي الغرناطية,Nuzhun bint al-Qala'i al-Gharnatiyah,2,12,8,مملوكي,7,أندلسي,approx,"Granada, 6th c. AH"
محيي الدين ابن الشهرزوري,Muhyi al-Din ibn al-Shahrzuri,1,12,3,متأخر,10,أيوبي,approx,Ayyubid qadi of Damascus
ابن جزي الكلبي,Ibn Juzayy al-Kalbi,1,14,3,متأخر,7,أندلسي,exact,"Granada, d. at the Battle of Rio Salado"
ابن ماكولا,Ibn Makula,1,11,3,متأخر,2,عباسي,exact,"Baghdad, author of al-Ikmal"
رايطة بنت شيظم النميرية,Raytah bint Shidham al-Numayriyyah,1,7,3,متأخر,1,إسلامي,approx,Early Islamic tribal poetess; floruit estimate
عباد بن شداد اليربوعي,'Abbad bin Shaddad al-Yarbu'i,1,7,3,متأخر,4,أموي,approx,Umayyad tribal poet; floruit estimate
الحسن بن عمرو الاباضي,Al-Hasan bin 'Amr al-Ibadi,1,11,3,متأخر,2,عباسي,approx,Ibadi (Oman/Maghrib); floruit estimate
الشماخ بن ضرار الذبياني,Al-Shammakh ibn Dirar al-Dhubyani,1,7,3,متأخر,6,مخضرم,approx,Mukhadram
امية بن عبد العزيز الداني,Umayya ibn Abd al-Aziz al-Dani,1,12,3,متأخر,7,أندلسي,exact,Duplicate of Umayya ibn Abd al-Aziz al-Dani
ظهير الدين الروذراوري,Ẓahīr al-Dīn al-Rūdhrawarī,1,12,3,متأخر,2,عباسي,exact,Seljuk vizier and historian
عامر بن الظرب العدواني,'Amir bin al-Dharb al-'Adwani,1,6,3,متأخر,5,جاهلي,approx,Pre-Islamic sage of Adwan
مطيع بن اياس,Muti' ibn Iyas,1,8,3,متأخر,2,عباسي,approx,"Abbasid, Kufa/Baghdad"
موفق الدين بن ابي الحديد,Muwaffaq al-Din ibn Abi al-Hadid,1,13,3,متأخر,10,أيوبي,approx,"Brother of Ibn Abi al-Hadid, Baghdad"
ابن سارة الاندلسي,Ibn Sara al-Andalusi,1,12,3,متأخر,7,أندلسي,exact,Duplicate of Ibn Sarah al-Shantarini
ابو الحسن السنجاني,Abū al-Ḥasan al-Sinjānī,1,11,3,متأخر,2,عباسي,approx,No reliable dates; floruit estimate
ابو غالب الواسطي,Abu Ghalib al-Wasiti,1,11,3,متأخر,2,عباسي,approx,No reliable dates; floruit estimate
ابو نصر القشيري,Abu Nasr al-Qushayri,1,12,3,متأخر,2,عباسي,approx,"Son of al-Qushayri, Nishapur"
احمد القوصي,Ahmad al-Qawsi,1,13,3,متأخر,8,مملوكي,approx,"Upper-Egyptian, Mamluk era; floruit estimate"
العيزار بن الاخنس الطايي,Al-Aizar bin al-Akhnas al-Ta'i,1,7,3,متأخر,1,إسلامي,approx,Early Islamic tribal; floruit estimate
القاسم صدر الافاضل,Al-Qasim Sadr al-Fadhil,1,13,3,متأخر,10,أيوبي,approx,Khwarazmian chancery poet
المنفتل,Al-Munfathil,1,11,3,متأخر,2,عباسي,approx,No reliable dates; floruit estimate
النصيبي القوصي,Al-Nusaybi al-Qusi,1,13,3,متأخر,8,مملوكي,approx,Mamluk-era Upper Egypt; floruit estimate
ذبية بنت بيشة الفهمية,Dhubayba bint Bayisha al-Fahmiyya,1,7,3,متأخر,1,إسلامي,approx,Early Islamic poetess; floruit estimate
سيف الدين المشد,Sayf al-Din al-Mashad,1,13,3,متأخر,8,مملوكي,approx,Ayyubid Egypt
شاعر الحمراء,Sha'ir al-Hamra,1,14,3,متأخر,7,أندلسي,approx,Nasrid Granada byname; floruit estimate
عيينة بن عبد الرحمن ابو المنهال,Uyayna ibn Abd al-Rahman Abu al-Minhal,1,8,3,متأخر,4,أموي,approx,Umayyad-Abbasid; floruit estimate
محمد بن علي بن ابي مروان,Muhammad bin Ali bin Abi Marwan,1,11,3,متأخر,2,عباسي,approx,No reliable dates; floruit estimate
مكي بن هبيرة,Makki ibn Hubayra,1,11,3,متأخر,2,عباسي,approx,No reliable dates; floruit estimate
يحيى ابن البحتري,Yaḥyā Ibn al-Buḥturī,1,9,3,متأخر,2,عباسي,approx,Son of al-Buhturi; floruit estimate
ابن ابي الاصبع,Ibn Abi al-Usbu',1,13,3,متأخر,8,مملوكي,exact,Egyptian rhetorician
ابن الافرنجية,Ibn al-Ifranjiyya,1,12,3,متأخر,10,أيوبي,approx,No reliable dates; floruit estimate
ابن الصيقل الجزري,Ibn al-Sa'iqal al-Jazari,1,13,3,متأخر,10,أيوبي,approx,"Jazira, Ayyubid era maqama author"
ابن رشيد البغدادي,Ibn Rashīd al-Baghdādī,1,12,3,متأخر,10,أيوبي,approx,No reliable dates; floruit estimate
ابن زيلاق,Ibn Zilaq,1,10,3,متأخر,2,عباسي,approx,No reliable dates; floruit estimate
ابن صاحب الصلاة ( ابن المناصف ),Ibn Sahib al-Salat (Ibn al-Manasif),1,13,3,متأخر,7,أندلسي,approx,Andalusian qadi
ابن فضال الحلواني,Ibn Faddal al-Halwani,1,11,3,متأخر,2,عباسي,approx,No reliable dates; floruit estimate
ابن قرناص,Ibn Qarnass,1,14,3,متأخر,8,مملوكي,approx,"Hama, Mamluk era"
ابن مالك,Ibn Mālik,1,13,3,متأخر,8,مملوكي,exact,"Author of the Alfiyya, Damascus"
ابو الجوايز الواسطي,Abū al-Jawāyiz al-Wāsiṭī,1,11,3,متأخر,2,عباسي,approx,"Wasit, Baghdad"
ابو العباس المرسي,Abu al-Abbas al-Mursi,1,13,3,متأخر,7,أندلسي,exact,"Shadhili Sufi, Alexandria"
ابو الهيثم المعري اخو ابي العلاء,Abū al-Haytham al-Maʿarrī Akhū Abī al-ʿAlāʾ,1,11,3,متأخر,2,عباسي,approx,Brother of al-Ma'arri; floruit estimate
ابو سعيد الحجري,Abu Sa'id al-Hajari,1,11,3,متأخر,2,عباسي,approx,No reliable dates; floruit estimate
ابو علي ابن فورجه,Abū ʿAlī Ibn Fūrja,1,11,3,متأخر,2,عباسي,approx,Critic of al-Mutanabbi
الحسين بن علي بن ابي طالب,Al-Husayn ibn Ali ibn Abi Talib,1,7,3,متأخر,1,إسلامي,exact,Killed at Karbala
الوزير ابو حفص بن برد الاصغر,al-Wazir Abu Hafs bin Burd al-Asghar,1,11,3,متأخر,7,أندلسي,approx,Cordoba chancery
ثابت بن سنان الصابي,Thabit bin Sinan al-Sabi,1,10,3,متأخر,2,عباسي,exact,Sabian physician-historian of Baghdad
ثابت قطنة,Thabit Qutnah,1,8,3,متأخر,4,أموي,approx,"Umayyad, Khurasan"
حبيش بن عبد الله الهمداني,Habish bin Abdullah al-Hamdani,1,9,3,متأخر,2,عباسي,approx,No reliable dates; floruit estimate
ذو اللسانين النطنزي,Dhu al-Lisanayn al-Natanzi,1,12,3,متأخر,2,عباسي,approx,"Bilingual Arabic-Persian poet, Isfahan"
علاء الدين الوداعي,Ala' al-Din al-Wada'i,1,14,3,متأخر,8,مملوكي,approx,Mamluk Damascus
مرة بن محكان السعدي,Murrah bin Mahkan al-Sa'di,1,7,3,متأخر,1,إسلامي,approx,Early Islamic tribal; floruit estimate
هند جارية الشاطبي,Hind Jariyat al-Shatibi,1,12,3,متأخر,7,أندلسي,approx,Andalusian singing-girl poet; floruit estimate
ابراهيم بن سيار النظام,Ibrahim bin Sayyar al-Nazzam,1,9,3,متأخر,2,عباسي,approx,Mu'tazilite theologian of Basra
ابن السكون الكاتب الحلي,Ibn al-Sakun al-Katib al-Hilli,1,13,3,متأخر,10,أيوبي,approx,"Hilla, philologist"
ابن الظهير الاربلي,Ibn al-Ẓahīr al-Arbalī,1,13,3,متأخر,8,مملوكي,exact,Irbil then Mosul
ابنة حذاق الحنفي,Ibnat Hudhaq al-Hanafi,1,7,3,متأخر,1,إسلامي,approx,Early Islamic poetess; floruit estimate
ابو عبدة الوزير,Abu 'Abdah al-Wazir,1,10,3,متأخر,2,عباسي,approx,No reliable dates; floruit estimate
ابو محمد عبد الله العسال,Abu Muhammad Abdullah al-Assal,1,10,3,متأخر,2,عباسي,approx,No reliable dates; floruit estimate
الاسود بن يعفر النهشلي,Al-Aswad ibn Ya'fur al-Nahshali,1,6,3,متأخر,5,جاهلي,approx,Pre-Islamic of Tamim
البديع الدمشقي,Al-Badi' al-Dimashqi,1,16,3,متأخر,9,عثماني,approx,Ottoman Damascus; floruit estimate
الحداد القيسي,Al-Haddad al-Qaisi,1,12,3,متأخر,10,أيوبي,approx,No reliable dates; floruit estimate
الفروخي ابو نصر الاواني,Al-Farrukhi Abu Nasr al-Awani,1,11,3,متأخر,2,عباسي,approx,No reliable dates; floruit estimate
زفر بن الحارث الكلابي,Zufr bin al-Harith al-Kilabi,1,7,3,متأخر,4,أموي,approx,Umayyad-era Qaysi chief
عامر بن مالك الفزاري,Amir ibn Malik al-Fazari,1,6,3,متأخر,5,جاهلي,approx,Pre-Islamic tribal; floruit estimate
عايشة الباعونية,Aisha al-Ba'uniyya,1,16,3,متأخر,8,مملوكي,exact,"Damascus/Cairo, Sufi woman scholar-poet"
عبد العزيز بن زرارة الكلابي,Abd al-Aziz bin Zurara al-Kilabi,1,7,3,متأخر,1,إسلامي,approx,Umayyad-era tribal; floruit estimate
عبد اللطيف الصيرفى,ʿAbd al-Laṭīf al-Ṣayrafī,1,17,3,متأخر,9,عثماني,approx,Ottoman-era; floruit estimate
عدي بن حاتم الطايي,'Uday bin Hatim al-Ta'i,1,7,3,متأخر,6,مخضرم,approx,"Son of Hatim al-Ta'i, Companion"
عمارة بن صالح عبد المالك,Imara bin Salih Abd al-Malik,1,8,3,متأخر,2,عباسي,approx,Abbasid-era; floruit estimate
فروة بن نوفل الاشجعي,Farwa ibn Nawfal al-Ashja'i,1,7,3,متأخر,1,إسلامي,approx,"Kharijite leader, killed under Ali"
لسان الدين الخطيب,Lisan al-Din al-Khatib,1,14,3,متأخر,8,مملوكي,exact,Duplicate spelling of Lisan al-Din ibn al-Khatib
محمد الفايز القيرواني,Muhammad al-Fa'iz al-Qayrawani,1,11,3,متأخر,2,عباسي,approx,Kairouan; floruit estimate
منصور بن اسماعيل الفقيه,Mansur ibn Ismail al-Faqih,1,10,3,متأخر,2,عباسي,exact,"Egyptian Shafi'i faqih-poet, d. 306 AH"
ابن سيد الناس,Ibn Sayyid al-Nas,1,14,3,متأخر,8,مملوكي,exact,Cairo hadith scholar
ابو الحسن ابن النرسي,Abu al-Hasan Ibn al-Narsi,1,11,3,متأخر,2,عباسي,approx,Baghdad; floruit estimate
ابو القاسم الزاهي,Abū al-Qāsim al-Zāhī,1,10,3,متأخر,2,عباسي,approx,Baghdad
ابو اليسر المعري,Abū al-Yusr al-Maʿrī,1,11,3,متأخر,2,عباسي,approx,Ma'arra family; floruit estimate
ابو عبد الله البغوي,Abu Abd Allah al-Baghawi,1,10,3,متأخر,2,عباسي,approx,Baghdad hadith scholar
ابو علي المنطقي,Abu Ali al-Mantiqi,1,10,3,متأخر,2,عباسي,approx,No reliable dates; floruit estimate
ام خالد النميرية,Umm Khalid al-Numayriyah,1,7,3,متأخر,1,إسلامي,approx,Early Islamic poetess; floruit estimate
ستيرة العصيبية,Sutayrah al-Usaybiyah,1,7,3,متأخر,1,إسلامي,approx,Early Islamic poetess; floruit estimate
عبدة بن الطبيب,Abda ibn al-Tabib,1,7,3,متأخر,6,مخضرم,approx,Mukhadram of Tamim
عماد الدين الاصبهاني,Imad al-Din al-Isfahani,1,13,3,متأخر,10,أيوبي,exact,Duplicate spelling of al-Imad al-Isbahani
قتيلة بنت النضر,Qutila bint al-Nadr,1,7,3,متأخر,1,إسلامي,approx,Elegy for her father after Badr
ناجية بن محمد الكاتب,Najiya bint Muhammad al-Katib,1,10,3,متأخر,2,عباسي,approx,No reliable dates; floruit estimate
آمنة بنت عتيبة,Aminah bint 'Utaybah,1,7,5,جاهلي,1,إسلامي,approx,Early Islamic poetess; floruit estimate
ابراهيم الحصري,Ibrāhīm al-Ḥuṣrī,1,11,8,مملوكي,2,عباسي,approx,"Kairouan, author of Zahr al-Adab"
ابن الزقاق,Ibn al-Zuqāq,1,12,8,مملوكي,2,عباسي,approx,Duplicate of Ibn al-Zuqaq al-Balansi
ابن الصباغ الجذامي,Ibn al-Sabbagh al-Judhami,1,12,8,مملوكي,7,أندلسي,approx,Andalusian; floruit estimate
ابن باجه,Ibn Bajjah,1,12,8,مملوكي,2,عباسي,exact,Duplicate spelling of Ibn Bajja (Avempace)
ابن سعد الخير البلنسي,Ibn Sa'd al-Khayr al-Balansi,1,12,8,مملوكي,7,أندلسي,approx,Valencia; floruit estimate
ابن هذيل,Ibn Hudhayl,1,12,8,مملوكي,7,أندلسي,approx,Duplicate/short form of Ibn Hudhayl al-Qurtubi
ابنة عقيل بن ابي طالب,Ibnat ʿAqīl ibn Abī Ṭālib,1,7,2,عباسي,1,إسلامي,approx,Early Islamic poetess; floruit estimate
ابو الشغب العبسي,Abū al-Shaghab al-ʿAbsī,1,7,7,أندلسي,4,أموي,approx,Umayyad tribal; floruit estimate
ابو عدي المعري,Abu Adi al-Ma'arri,1,11,3,متأخر,2,عباسي,approx,Ma'arra family; floruit estimate
احمد فتحي,Ahmad Fathi,1,20,5,جاهلي,3,متأخر,approx,No reliable dates; floruit estimate
الاصبغ القرشي,Al-Asbagh al-Qurashi,1,7,7,أندلسي,4,أموي,approx,Umayyad-era; floruit estimate
الحارث الجرمي,al-Harith al-Jarmi,1,7,5,جاهلي,6,مخضرم,approx,Mukhadram; floruit estimate
الخيبري الخارجي,al-Khaybarī al-Khārijī,1,7,2,عباسي,4,أموي,approx,Kharijite; floruit estimate
الشريف العقيلي,Al-Sharīf al-ʿUqaylī,1,11,8,مملوكي,2,عباسي,approx,No reliable dates; floruit estimate
الشيخ الرييس ابو نصر القايني,al-Shaykh al-Rāʾīs Abū Naṣr al-Qāʾīnī,1,11,6,مخضرم,2,عباسي,approx,Quhistan; floruit estimate
العجاج,al-ʿAjjāj,1,8,6,مخضرم,4,أموي,approx,Umayyad rajaz master
المعتضد بن عباد,al-Mu'tadid ibn 'Abbad,1,11,8,مملوكي,7,أندلسي,exact,"Abbadid king of Seville, father of al-Mu'tamid"
المهذب بن الزبير,al-Muhadhdhab ibn al-Zubayr,1,12,8,مملوكي,2,عباسي,approx,"Egypt, Fatimid-Ayyubid"
النَهشَلي,al-Nahshalī,1,10,4,أموي,2,عباسي,approx,Kairouan (Abd al-Karim al-Nahshali); floruit estimate
ام ابي الحسن السلامي,Umm Abī al-Ḥasan al-Salāmī,1,10,8,مملوكي,2,عباسي,approx,Mother of al-Salami; floruit estimate
ام صريع الكندية,Umm Sari' al-Kindiyya,1,7,5,جاهلي,1,إسلامي,approx,Early Islamic poetess; floruit estimate
تماضر بنت الشريد,Tamador bint al-Sharid,1,7,5,جاهلي,1,إسلامي,approx,Given name of al-Khansa; duplicate entry
جورج جريس فرح,George Jiries Farah,1,20,7,أندلسي,3,متأخر,approx,Contemporary Lebanese; floruit estimate
ريطة بنت عاصم الهوازنية,Rayta bint Asim al-Hawazaniyya,1,7,5,جاهلي,1,إسلامي,approx,Pre-Islamic poetess; floruit estimate
شهاب الدين الالوسي,Shihab al-Din al-Alusi,1,19,5,جاهلي,9,عثماني,exact,Duplicate of Mahmud al-Alusi
عامرية الكثيب,Ameriyya al-Kathib,1,12,1,إسلامي,10,أيوبي,approx,Byname only; no reliable dates
عايشة بنت احمد القرطبية,Aisha bint Ahmad al-Qurtubiyya,1,11,8,مملوكي,7,أندلسي,exact,"Cordoba, d. 400 AH"
عبد العزيز المقالح,Abd al-Aziz al-Maqaleh,1,21,2,عباسي,3,متأخر,exact,Yemen
عبد الغفار الأخرس,ʿAbd al-Ghaffār al-Akhras,1,19,7,أندلسي,9,عثماني,exact,Mosul/Baghdad
عبيد الله بن مسعود الهذلي,Ubayd Allah bin Mas'ud al-Hudhali,1,7,2,عباسي,4,أموي,approx,Hudhali; floruit estimate
عبيدة اليشكري,ʿUbaydah al-Yashkurī,1,6,4,أموي,5,جاهلي,approx,Pre-Islamic; floruit estimate
عروة بن ادية,'Urwah bin Adiyyah,1,7,2,عباسي,4,أموي,approx,Kharijite of Tamim
علي بن الحسين,Ali ibn al-Husayn,1,8,1,إسلامي,4,أموي,approx,Zayn al-Abidin
علي بن فضال المجاشعي,ʿAlī ibn Faḍḍāl al-Mijāshʿī,1,11,4,أموي,2,عباسي,approx,"Philologist, Baghdad"
عمرة بنت رواحة الانصارية,'Umrah bint Rawahah al-Ansariyyah,1,7,3,متأخر,6,مخضرم,approx,Companion poetess; floruit estimate
فخر الدين ابن هبيرة,Fakhr al-Din ibn Hubayra,1,12,3,متأخر,2,عباسي,approx,Baghdad vizier family
محسن الامين,Muhsin al-Amin,1,20,8,مملوكي,3,متأخر,exact,Jabal Amil then Damascus
محمود حسن اسماعيل,Mahmud Hasan Ismail,1,20,8,مملوكي,3,متأخر,exact,Egypt
مروان بن أبي حفصة,Marwan ibn Abi Hafsa,1,8,1,إسلامي,2,عباسي,exact,Abbasid panegyrist
نازك الملايكة,Nazik al-Mala'ika,1,21,1,إسلامي,3,متأخر,exact,"Iraq, co-founder of free verse"
هند الضبابية,Hind al-Dababiyyah,1,7,5,جاهلي,1,إسلامي,approx,Early Islamic poetess; floruit estimate
